round,ranger.MCC,ranger.Acc,ranger.F1,ranger.Precision,rpart.MCC,rpart.Acc,rpart.F1,rpart.Precision,glm.MCC,glm.Acc,glm.F1,glm.Precision
fold.1_train,1,1,1,1,0.862785,0.935561,0.897797,0.889733,1,1,1,1
fold.1_test,1,1,1,1,0.629208,0.829787,0.728395,0.728395,1,1,1,1
fold.1_valid,0.88996,0.959184,0.911422,0.967361,0.615421,0.857143,0.701431,0.685345,0.96957,0.979592,0.983215,0.977778
fold.2_train,1,1,1,1,0.89104,0.953431,0.915069,0.938901,1,1,1,1
fold.2_test,0.88996,0.959184,0.911422,0.967361,0.793699,0.918367,0.845161,0.836111,0.96957,0.979592,0.983215,0.977778
fold.2_valid,0.914936,0.965517,0.932099,0.932099,0.820565,0.913793,0.864582,0.883476,1,1,1,1
fold.3_train,1,1,1,1,0.878047,0.946154,0.90838,0.915285,1,1,1,1
fold.3_test,0.914936,0.965517,0.932099,0.932099,0.868685,0.931034,0.905969,0.905983,1,1,1,1
fold.3_valid,0.958611,0.985075,0.964232,0.989247,0.768274,0.895522,0.821494,0.811907,1,1,1,1
fold.4_train,1,1,1,1,0.954866,0.97449,0.969775,0.973076,1,1,1,1
fold.4_test,0.938599,0.970149,0.95348,0.978495,0.797588,0.910448,0.844803,0.844803,1,1,1,1
fold.4_valid,0.787939,0.928571,0.795788,0.952381,0.76892,0.910714,0.813506,0.794872,1,1,1,1
fold.5_train,1,1,1,1,0.865209,0.941748,0.895905,0.912458,1,1,1,1
fold.5_test,0.787939,0.928571,0.795788,0.952381,0.87753,0.946429,0.902456,0.962454,1,1,1,1
fold.5_valid,0.885904,0.978723,0.881797,0.986111,0.76946,0.93617,0.802985,0.803571,1,1,1,1
fold.6_train,1,1,1,1,0.917368,0.962085,0.938147,0.948551,1,1,1,1
fold.6_test,0.885904,0.978723,0.881797,0.986111,0.894392,0.957447,0.910368,0.875,1,1,1,1
fold.6_valid,0.890181,0.956522,0.899123,0.966667,0.825098,0.913043,0.870582,0.859903,1,1,1,1
fold.7_train,1,1,1,1,0.889022,0.948529,0.918387,0.925794,1,1,1,1
fold.7_test,0.890181,0.956522,0.899123,0.966667,0.896218,0.956522,0.918841,0.918841,1,1,1,1
fold.7_valid,0.879708,0.95082,0.891444,0.965674,0.77128,0.885246,0.806699,0.921429,0.961691,0.983607,0.968709,0.988889
fold.8_train,1,1,1,1,0.882542,0.946731,0.911965,0.925597,1,1,1,1
fold.8_test,0.857651,0.934426,0.879321,0.953086,0.768617,0.885246,0.806972,0.919048,1,1,1,1
fold.8_valid,1,1,1,1,0.886436,0.95122,0.906685,0.87037,1,1,1,1
fold.9_train,1,1,1,1,0.859643,0.937355,0.893903,0.89622,1,1,1,1
fold.9_test,1,1,1,1,0.886436,0.95122,0.906685,0.87037,1,1,1,1
fold.9_valid,0.93531,0.976744,0.941628,0.979167,0.809418,0.906977,0.861776,0.86619,1,1,1,1
fold.10_train,1,1,1,1,0.886112,0.945882,0.914154,0.896163,1,1,1,1
fold.10_test,0.93531,0.976744,0.941628,0.979167,0.809418,0.906977,0.861776,0.86619,1,1,1,1
fold.10_valid,1,1,1,1,0.814604,0.914894,0.864198,0.864198,1,1,1,1
