round,ranger.MCC,ranger.Acc,ranger.F1,ranger.Precision,rpart.MCC,rpart.Acc,rpart.F1,rpart.Precision,glm.MCC,glm.Acc,glm.F1,glm.Precision
fold.1_train,1,1,1,1,0.922592,0.962963,0.943131,0.958134,1,1,1,1
fold.1_test,0.679575,0.809524,0.75798,0.81746,0.602494,0.761905,0.710678,0.75641,0.901005,0.952381,0.918841,0.972222
fold.1_valid,0.921883,0.954545,0.95221,0.979167,0.830614,0.909091,0.865079,0.833333,0.646901,0.772727,0.715385,0.711111
fold.2_train,1,1,1,1,0.903878,0.949275,0.933375,0.928756,1,1,1,1
fold.2_test,0.818509,0.909091,0.874074,0.866667,0.497209,0.681818,0.601648,0.608333,0.636099,0.772727,0.714952,0.688889
fold.2_valid,0.904573,0.944444,0.939048,0.974359,0.817336,0.888889,0.858586,0.833333,0.892325,0.944444,0.918841,0.888889
fold.3_train,1,1,1,1,0.911184,0.957746,0.931522,0.941224,1,1,1,1
fold.3_test,0.904573,0.944444,0.939048,0.974359,0.637439,0.722222,0.700529,0.761905,1,1,1,1
fold.3_valid,0.889209,0.944444,0.92,0.974359,0.566667,0.777778,0.722222,0.722222,0.783333,0.888889,0.861111,0.861111
fold.4_train,1,1,1,1,0.970629,0.985507,0.978226,0.973846,1,1,1,1
fold.4_test,0.889209,0.944444,0.92,0.974359,0.783333,0.888889,0.861111,0.861111,0.889209,0.944444,0.92,0.974359
fold.4_valid,0.630363,0.818182,0.722222,0.731746,0.559477,0.772727,0.669221,0.755556,0.659858,0.818182,0.731746,0.809524
fold.5_train,1,1,1,1,0.945727,0.971631,0.962037,0.959335,1,1,1,1
fold.5_test,0.623267,0.818182,0.7,0.791667,0.559477,0.772727,0.669221,0.755556,0.567841,0.772727,0.624675,0.785714
fold.5_valid,0.717454,0.866667,0.858333,0.923077,0.728322,0.866667,0.805556,0.948718,0.871207,0.933333,0.918841,0.972222
fold.6_train,1,1,1,1,0.920791,0.959184,0.943984,0.952219,1,1,1,1
fold.6_test,0.717454,0.866667,0.858333,0.923077,0.472309,0.8,0.658333,0.673077,0.82195,0.933333,0.822222,0.833333
fold.6_valid,0.838393,0.9375,0.84127,0.916667,0.605941,0.8125,0.7343,0.833333,0.838393,0.9375,0.84127,0.916667
fold.7_train,1,1,1,1,0.902069,0.951389,0.930465,0.926974,1,1,1,1
fold.7_test,0.838393,0.9375,0.84127,0.916667,0.709741,0.875,0.763285,0.861111,0.838393,0.9375,0.84127,0.916667
fold.7_valid,0.921154,0.944444,0.955204,0.972222,0.77611,0.888889,0.807729,0.805556,0.854351,0.944444,0.858586,0.833333
fold.8_train,1,1,1,1,0.908735,0.958621,0.929166,0.929166,1,1,1,1
fold.8_test,1,1,1,1,0.60648,0.777778,0.678744,0.722222,0.766085,0.888889,0.766667,0.777778
fold.8_valid,0.187119,0.6,0.563636,0.557692,0.190931,0.6,0.683333,0.434343,0.64701,0.8,0.733083,0.85
fold.9_train,1,1,1,1,0.94715,0.973333,0.962941,0.967518,1,1,1,1
fold.9_test,0.144236,0.6,0.580952,0.388889,0.366954,0.666667,0.553968,0.722222,0.75769,0.866667,0.8,0.939394
fold.9_valid,0.852333,0.923077,0.866667,0.888889,0.722216,0.846154,0.722222,0.833333,0.722216,0.846154,0.722222,0.833333
fold.10_train,1,1,1,1,0.943354,0.972222,0.959163,0.969246,1,1,1,1
fold.10_test,0.852333,0.923077,0.866667,0.888889,0.716273,0.846154,0.747059,0.851852,0.852333,0.923077,0.866667,0.888889
fold.10_valid,0.498262,0.714286,0.604938,0.729167,0.486977,0.714286,0.61544,0.673077,0.912018,0.952381,0.92674,0.916667
